,Route,Route Type,Grading,Area Latitude,Area Longitude,State,Gorge,Area,Crag,Subcrag,Description,URL
511,Blowhole,Boulder,V0,39.96518,-75.25129,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Beached Boulder,"Start matched on the lowest rail on the left. Bump up to the lip, find a nice round pocket, and top out.There was a recent break on this problem so beware that some of the rock above the start may be loose.",https://www.mountainproject.com/route/117561317/blowhole
512,Early 70S Gymnastics,Boulder,V0+,39.96518,-75.25129,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Beached Boulder,Start on a nice left edge and the right arête. Move up to a tiny rail and small nubs. Reach back for a better hold and top out. Kinda strenuous. Beware the dab.Beta Vid,https://www.mountainproject.com/route/117295169/early-70s-gymnastics
513,Unicorns In Paradise,Boulder,V1,39.96518,-75.25129,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Beached Boulder,Start on good edges in the middle of the face with smeary feet. Triple bump to the top on the left. Throw a heel then reach for a sloper on the right. Top out.Beta Vid,https://www.mountainproject.com/route/117295703/unicorns-in-paradise
514,Raining Blubber,Boulder,V1+,39.96518,-75.25129,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Beached Boulder,"Start on a left sidepull and a right crimp in the face. Move up to slopers and top out with a crimpy gaston.Project: Start on the lowest section of the left sidepull and the right crimp in the face. The feet at this angle are rough, probably a V3.",https://www.mountainproject.com/route/117553160/raining-blubber
515,Happy Birthday Arete,Boulder,V0-1,39.96573,-75.25434,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Quarantine Boulders,"Stand start with jugs, climb the short arête. A SDS seems possible but the small tree makes it pretty awkward.Beta Video",https://www.mountainproject.com/route/119256664/happy-birthday-arete
516,Purell,Boulder,V0-1,39.96573,-75.25434,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Quarantine Boulders,SDS on right side of overhang. Traverse left and top out.Beta Video,https://www.mountainproject.com/route/119256720/purell
517,Anthony Slouchi,Boulder,V0,39.96573,-75.25434,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Quarantine Boulders,Sit down start with sidepull crimps at waist height. Gain the lip and top out. The large pedestal out right is off.,https://www.mountainproject.com/route/120707523/anthony-slouchi
518,Droplet,Boulder,V0+,39.96573,-75.25434,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Quarantine Boulders,SDS with left sidepull jug and right crimp. Make one big move to gain the lip and top out.Beta Video,https://www.mountainproject.com/route/119256551/droplet
519,Virulence,Boulder,V1,39.96573,-75.25434,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Quarantine Boulders,SDS with left sidepull jug and right crimp. Gain the lip and transverse right as far as possible before topping out. The two large pedestals at the base are off for feet.Beta Video,https://www.mountainproject.com/route/119256622/virulence
520,Social Distancing,Boulder,V1,39.96573,-75.25434,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Quarantine Boulders,Start matched on the far left end of the lip. Traverse right and top out around the corner.Beta Video,https://www.mountainproject.com/route/119256758/social-distancing
521,Chillin Out Vaxin,Boulder,V3,39.96573,-75.25434,Pennsylvania,Southeastern Lowlands,Philly,Cobbs Creek,Quarantine Boulders,Stand start on the far right of the lip with a right jug and a left sloper. Traverse left across the lip and around the corner. Top out same as Happy Birthday Arete.,https://www.mountainproject.com/route/120707585/chillin-out-vaxin
522,The Direct,Boulder,V0,40.07778,-75.12878,Pennsylvania,Southeastern Lowlands,Philly,Wall Park Boulder,N/A,The easiest/simplest climb on the boulder. Share a start with Pinchy and link into Crimps N Slots. Head straight up for the first ledge and topout.,https://www.mountainproject.com/route/121980610/the-direct
523,Crimps N Slots,Boulder,V1,40.07778,-75.12878,Pennsylvania,Southeastern Lowlands,Philly,Wall Park Boulder,N/A,"Traverse left through slots until arete and then make move straight up, topping out on the first ledge. (Not Marco Polo topout)",https://www.mountainproject.com/route/121980570/crimps-n-slots
524,Pinchy,Boulder,V2,40.07778,-75.12878,Pennsylvania,Southeastern Lowlands,Philly,Wall Park Boulder,N/A,"Start the same as ""The Direct"", low and left, and make moves to a right handed pinch. The first ledge is OFF (""The Direct"" topout). Instead reach far for a crimp below the second ledge. Proceed to the top with other holds.",https://www.mountainproject.com/route/121980603/pinchy
525,Marco Polo,Boulder,V2,40.07778,-75.12878,Pennsylvania,Southeastern Lowlands,Philly,Wall Park Boulder,N/A,"Probably has the nicest movement on the boulder. Move through cracks, sidepulls and slopers to the top.",https://www.mountainproject.com/route/121980618/marco-polo
526,High Tensions,Boulder,V2,40.07778,-75.12878,Pennsylvania,Southeastern Lowlands,Philly,Wall Park Boulder,N/A,"The tallest line on the boulder which gets a bit scary because you feel like you're over a rock. For the full value line, start on ""The Direct"" and traverse right into the start.",https://www.mountainproject.com/route/121980640/high-tensions
527,Rarete,Boulder,V2,40.07917,-75.12684,Pennsylvania,Southeastern Lowlands,Philly,Yorktown Plaza,N/A,Crux is early on again. The landing on this one isn't great with a big tree stump in the way. Spotter would be nice. Move onto the arete and maybe sneak a right heel hook on the start hold to move to better holds.,https://www.mountainproject.com/route/121980755/rarete
528,Cosi Dyno,Boulder,V4,40.07917,-75.12684,Pennsylvania,Southeastern Lowlands,Philly,Yorktown Plaza,N/A,"First move is crux. Dyno with bad feet to a good sloper. This move could be harder than V4 but once you stick it, the climb is just about over. Climb through one more reachy move after the dyno to jugs.",https://www.mountainproject.com/route/121980738/cosi-dyno
529,Mini Crack,Boulder,V0-,39.9777,-75.6812,Pennsylvania,Southeastern Lowlands,Downingtown Boulders,N/A,N/A,The problem is a fun warm up to do. It is a crack with some pretty chunky holds on it.,https://www.mountainproject.com/route/108036047/mini-crack
530,Belly Flop,Boulder,V0,39.9777,-75.6812,Pennsylvania,Southeastern Lowlands,Downingtown Boulders,N/A,N/A,Start on an undercling and side pull. Reach for the lip and top out.,https://www.mountainproject.com/route/108838659/belly-flop
531,Waterfall,Boulder,V0,39.9777,-75.6812,Pennsylvania,Southeastern Lowlands,Downingtown Boulders,N/A,N/A,"You start with two wide underclings to get up onto the slab, which is the crux. Then climb the sob to the top",https://www.mountainproject.com/route/108838688/waterfall
532,Run Off,Boulder,V0,39.9777,-75.6812,Pennsylvania,Southeastern Lowlands,Downingtown Boulders,N/A,N/A,Sit start on a crimp and pocket and make a big move to a jug and top out.,https://www.mountainproject.com/route/108838697/run-off
533,After Hours,Boulder,V0-1,39.9777,-75.6812,Pennsylvania,Southeastern Lowlands,Downingtown Boulders,N/A,N/A,"Sharp crimps and some flakes at the top, topout is the crux.",https://www.mountainproject.com/route/112919867/after-hours
534,Business Time,Boulder,V2,39.9777,-75.6812,Pennsylvania,Southeastern Lowlands,Downingtown Boulders,N/A,N/A,"The start of the problem is on the lower right hand corner of the boulder. Then you traverse to where the boulder and the tree meet, then you top out.",https://www.mountainproject.com/route/108036032/business-time
535,Business Time Direct,Boulder,V3,39.9777,-75.6812,Pennsylvania,Southeastern Lowlands,Downingtown Boulders,N/A,N/A,Start in the middle of the same boulder as Business Time on two crimps. Move up to a flake and traverse left to the same top out as Business Time.,https://www.mountainproject.com/route/108838582/business-time-direct
536,Broken Heart,Boulder,V0,39.94528,-75.42376,Pennsylvania,Southeastern Lowlands,Ridley Creek Boulders,N/A,N/A,This problem is found on the main boulder on the right side. The side resembles a heart. It is a simple crack problem. Its a short crack climb that starts with right foot out on a small rock in the ground and then a wide left foot on the base of the main boulder. Start with hands in the crack then cross hands up further on the crack and then bring right foot over to left foot and back flag the left. Move up the crack crossing hands and then pull up on top of boulder to top out.,https://www.mountainproject.com/route/108959048/broken-heart
537,Ridleys Oyster Shell,Boulder,V0-1,39.94528,-75.42376,Pennsylvania,Southeastern Lowlands,Ridley Creek Boulders,N/A,N/A,Start with a hang start with feet on small rock under the first ledge. Cross left hand to small crimp swing out to grab a crimp on the other side of the ledge with right hand. While hanging throw a heel hook with right foot while flagging with left. Crank up and grab the point of the second ledge. Step up and top out.,https://www.mountainproject.com/route/109073936/ridleys-oyster-shell
538,Ridleys Gap,Boulder,V0-1,39.94528,-75.42376,Pennsylvania,Southeastern Lowlands,Ridley Creek Boulders,N/A,N/A,This problem starts with two feet on a smaller rock and two hands low on the first part of the boulder. Cross with your right hand further up on the same part you started on and then match hands. Throw a heel hook with your left foot to the edge. Put your right foot up onto the second part of the boulder and push up to grab with your right hand to the top part of the second part of the boulder and match hands. Then work your way up to the top using the edge of the boulder for feet. Top out.,https://www.mountainproject.com/route/108959788/ridleys-gap
539,Two Humps,Boulder,V0-1,39.94528,-75.42376,Pennsylvania,Southeastern Lowlands,Ridley Creek Boulders,N/A,N/A,Its a shorter problem if you have a crash pad bring it!,https://www.mountainproject.com/route/109073916/two-humps
540,Typical Birds Boro,Boulder,V0-1,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,Climb the slab face next to the roof on the left.,https://www.mountainproject.com/route/111605962/typical-birds-boro
541,Easy Street,Boulder,V0-1,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,Climb the slab face. watch for loose pebbles.,https://www.mountainproject.com/route/111605978/easy-street
542,Crack Ladder,Boulder,V0-1,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,stem your way up the crack in corner.,https://www.mountainproject.com/route/111605755/crack-ladder
543,Stupid White Man,Boulder,V0-,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,Step out on the ledge and climb the face,https://www.mountainproject.com/route/111606018/stupid-white-man
544,No Name,Boulder,V0,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,Start on the corner and make your way up  on the left side of the face,https://www.mountainproject.com/route/111606034/no-name
545,Ren And Stimpy,Boulder,V0,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,Climb the arête.,https://www.mountainproject.com/route/111606044/ren-and-stimpy
546,Muddy Mud Skipper,Boulder,V0,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,Climb the crack,https://www.mountainproject.com/route/111606055/muddy-mud-skipper
547,One Pump Chump,Boulder,V1,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,crux is the start. climb up into the roof. pull roof on right side of the arête and finish up the slab.,https://www.mountainproject.com/route/111605950/one-pump-chump
548,Thundercat,Boulder,V3,40.23926,-75.83344,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Warm up boulder,N/A,Climb the left side of the face on the arête.,https://www.mountainproject.com/route/111605927/thundercat
549,Half Pump Hump,Boulder,V0,40.2393,-75.83341,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Solo Boulder,N/A,Start with your feet under the lower roof with your hand on the first good hold. work your way up the face and mantel on the rock above,https://www.mountainproject.com/route/111606077/half-pump-hump
550,Turkey Hill Hot Dog,Boulder,V2-3,40.23908,-75.83403,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Lower Boulder,N/A,start low on the slab move up and left over the roof to a hard mantel,https://www.mountainproject.com/route/111609259/turkey-hill-hot-dog
551,Workin Man,Boulder,V4,40.23927,-75.83387,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,The Gem,N/A,Start with your hands on the dish in the lower middle of the boulder and climb left working your way to the point at the end of the boulder. a fun sustained problem with great moves. the crux is where ever your anaerobic respiration kicks in.,https://www.mountainproject.com/route/111617256/workin-man
552,Overtime,Boulder,V5-,40.23927,-75.83387,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,The Gem,N/A,"FA: kyle stromanThis is the sit variation of working man, it adds an additional 3 moves. Start on two crimps a few feet right of the dish and throw a heel hook, cross right hand over to another crimp. Reach left hand out for the dish and lock in your core to match. Finish the rest of the boulder as you would for working man.You could start even further to the right if you want, but starting here prevents the annoying butt dab.",https://www.mountainproject.com/route/118760251/overtime
553,Crack Head,Boulder,V1,40.23928,-75.83405,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Cobra rock,N/A,Start on the right side of the rock with an under cling reach for the crack. Crux is the first move into the crack,https://www.mountainproject.com/route/111617300/crack-head
554,The Talking Snake,Boulder,V2,40.23928,-75.83405,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Cobra rock,N/A,Start in the crack on the left side and traverse right and mantle on the right side of the rock.,https://www.mountainproject.com/route/111617401/the-talking-snake
555,Cobra Strike,Boulder,V3,40.23928,-75.83405,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,Cobra rock,N/A,"Start on the cobra hood with a compression hold, and move straight up. Rock on the left is off.",https://www.mountainproject.com/route/111617380/cobra-strike
556,2 Beers Deep,Boulder,V2,40.23931,-75.83504,Pennsylvania,Southeastern Lowlands,Hay Creek Boulders,High Ball Boulder,N/A,Start on the right side of the south face of the boulder. make a few moves then make a small traverse left and continue straight up the boulder.,https://www.mountainproject.com/route/111617448/2-beers-deep
557,Dirty Fingers,Boulder,V0,40.0494,-75.53448,Pennsylvania,Southeastern Lowlands,Chester Valley Trail Outcrop,N/A,N/A,"Start with a right hand undercling and obvious right foot, left hand in undercling in the crack. Work up the flake to your left, move right then top out.",https://www.mountainproject.com/route/112888803/dirty-fingers
558,Dirty Old Crack Rock,Boulder,V0-1,40.0494,-75.53448,Pennsylvania,Southeastern Lowlands,Chester Valley Trail Outcrop,N/A,N/A,Lots of ways to go about this one. Sit start under the fat crack and work your way up. Its wide enugh to be hand jammed but featured enough that it really isn't necessary.,https://www.mountainproject.com/route/112888827/dirty-old-crack-rock
559,Finger Hand Fist,Boulder,V0-1,40.1762,-75.73542,Pennsylvania,Southeastern Lowlands,Saint Peter'S Village,The Bunker,N/A,"Start on good but small hands on the ledge below the crack, left foot smear and right foot on a small edge. Use the flaring crack to work hands up and then feet. This is a good problem for someone looking to get practice with different crack sizes. Although the crack is short if so inclined you could get 6-7 jams in before topping out (I did it in 3, a finger, hand, and fist jam)",https://www.mountainproject.com/route/116489974/finger-hand-fist
560,Run Train,Boulder,V2,40.1762,-75.73542,Pennsylvania,Southeastern Lowlands,Saint Peter'S Village,The Bunker,N/A,Start with feet on large angling boulder on the right end of the cave and hands on underclings of the top boulder. Work feet up the bottom and hands up the top until you can bump out left and let feet loose. Get a heel hook on the lip and make a scary mantle then scramble the slabby featured face to top out.,https://www.mountainproject.com/route/116489918/run-train
561,Whoever Killed That Tree Your Moms A Hoe,Boulder,V2-3,40.1762,-75.73542,Pennsylvania,Southeastern Lowlands,Saint Peter'S Village,The Bunker,N/A,"Start low and let on the end of the crescent shaped crack on incut small holds, feet on the base of boulder on good feet. Bump hands right along shallow crack (watch out for the corpse of the baby tree growing in the crack) and adjust feet on base. Either follow thinning fingertip sidepulls up the crack and an arduous high right foot to top out, or get yourself set on a good right hand and lunge up with the left for a sloper, heel hook and top out. Both ways are difficult, maybe v3. Please be careful to not lay your pad in such a way that you will stress the small tree at the back of the landing.",https://www.mountainproject.com/route/116490062/whoever-killed-that-tree-your-moms-a-hoe
562,Clearcoat Left,Boulder,V0-,40.0355,-75.7086,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Clearcoat Face,Climb up the left side of the clearoat face. Big chunky holds lead to a sloped topout. Topout probably the crux.,https://www.mountainproject.com/route/113047226/clearcoat-left
563,Commitment Issues,Boulder,V1,40.0355,-75.7086,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Clearcoat Face,"Stand start with a hand on a big crimp/edge and one on the separated but still solid small block in the seam.  Work up on good feet and hands to a juggy edge shrouded in ferns: this is the commitment point. Work some slightly high feet up (you better trust them) and make a reachy move up over the next block to another juggy edge, and then repeat that sequence to the final jutting out edge. Walk off the slabby topout of clearcoat face to the left. Careful, that topout slab is more slippery than it looks.",https://www.mountainproject.com/route/115683091/commitment-issues
564,Trout Erection,Boulder,V1+,40.0355,-75.7086,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Clearcoat Face,"Contrived sit start that shares a finish with ""Clearcoat Arete"". Start with hands on large triangular ledge and high feet. Work up and left on small but mostly positive edges and top out near the arete.",https://www.mountainproject.com/route/116982762/trout-erection
565,Clearcoat Direct,Boulder,V2,40.0355,-75.7086,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Clearcoat Face,"Tiny negative holds until you hit the crack, and then they're still tiny. Be careful as you tend to lean right near the top and a fall could be very very bad if not protected right.",https://www.mountainproject.com/route/113047239/clearcoat-direct
566,Clearcoat Arete,Boulder,V3,40.0355,-75.7086,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Clearcoat Face,"The best climbing in the clearcoat area, but by far the worst landing. Start with hands in chunky opening on the left face. Swing/slap up to an edge around the right side of the face. Heel hook wide right to allow you to pinch the polished arete and then bump your right hand to a bad 2 finger uncut edge. Open those hips and get a high foot to stand up.",https://www.mountainproject.com/route/113047309/clearcoat-arete
567,Clearcoat Cut,Boulder,V4,40.0355,-75.7086,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Clearcoat Face,"Start matched on the large ledge that is the left hand start of Clearcoat Arete. Keep to the right of the crack. Do 3 or 4 small moves up small negative crimps and gun it for the top. Top move is scary, and may be harder for smaller climbers.",https://www.mountainproject.com/route/118927996/clearcoat-cut
568,Peace Out,Boulder,V0,40.03558,-75.70886,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Peace Pipe,"Sit start low with hands matched on the obvious rail, pull up and get the right hand in the undercling, then match (I've tried many many times but it only goes if you match). Bump both hands up to the flake, and then campus or traverse left. topout where the ledge ends.",https://www.mountainproject.com/route/113047406/peace-out
569,Peace Out Direct,Boulder,V1,40.03558,-75.70886,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Peace Pipe,"Same Start as peace pipe, but mantel directly up over the top. The mantel move is on good holds however the ledge that you exit onto is small (about a foot and a half wide) and typically overgrown with ferns if not recently cleaned off. Would be an unpleasant fall if not committed to the move completely.",https://www.mountainproject.com/route/115677143/peace-out-direct
570,Bring Your Protection,Boulder,V1+,40.03565,-75.70896,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Protection Face,Sit start with your hands on the big flake and your feet in the crack. Move to the obvious side pull and then match on the rail above it. The rest is pretty much all small rough crimps until you get to the big edge just below the top. The crux is getting your left hand in up into a tiny negative crack thing without peeling off the wall. very fun problem once you work that out.,https://www.mountainproject.com/route/113047459/bring-your-protection
571,Boogie Man,Boulder,V1+,40.03565,-75.70896,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Protection Face,"Just an extension to heebee jeebees starting out to the left. Really no harder, just a little more pump.",https://www.mountainproject.com/route/113047478/boogie-man
572,Misty Green,Boulder,V2-3,40.03588,-75.70906,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Whittaker Trail Head Memorial Park,Baby Roof,"Start with hands spread wide in compression across the bottom corners of the overhanging block, get creative with feet. Bump the left hand up to a finger wide flare in the crack, and then either find a way to bump right hand to crimpy edges, or establish good feet and throw with the left for the top, and then head up and right to top out.",https://www.mountainproject.com/route/115683033/misty-green
573,Grippy Gully,Boulder,V0,40.04472,-75.70726,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Shelmire Road Hillside,N/A,Start up that the horizontal crack in the featured concave slabby rock. Trust your feet to smearing and work your way up the well featured face.,https://www.mountainproject.com/route/117061406/grippy-gully
574,Neighborly,Boulder,V1,40.04472,-75.70726,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Shelmire Road Hillside,N/A,Climb the featured slab left of Breakfast at Cliffany's,https://www.mountainproject.com/route/116092780/neighborly
575,Breakfast At Cliffanys,Boulder,V1+,40.04472,-75.70726,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Shelmire Road Hillside,N/A,"Start on a small left facing flake at about chest height work up on good crimps and small edges into a corner dihedralish feature. Top out and walk off. Tall and scarier than it is difficult. Really good quality rock, not sure what it is though.",https://www.mountainproject.com/route/116092765/breakfast-at-cliffanys
576,Arachnoflake,Boulder,V1+,40.04472,-75.70726,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Shelmire Road Hillside,N/A,"Start with hands in the large left facing flake to the right of ""Tripping While Dogsitting"" and with good feet. Layback up and get some crimps to pull over the bulge. The crack is home to a myriad of spiders in the warm months.",https://www.mountainproject.com/route/117061321/arachnoflake
577,Roadside Rabble,Boulder,V3-,40.04472,-75.70726,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Shelmire Road Hillside,N/A,"Start matching the large sidepull flake and move up to the left hand crimp. Afterwards move up to a solid righthand crimp before throwing to the top lip.A much easier version of this line is possible by using the large crack between the last crimp and the top, but it was much less fun.",https://www.mountainproject.com/route/119566877/roadside-rabble
578,Tripping While Dogsitting,Boulder,V3-,40.04472,-75.70726,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Shelmire Road Hillside,N/A,"Start as for ""Breakfast at Cliffany's"" on the left facing flake. Bump up and right to a far gaston, adjust feet and reach for the arching crimp rail above the gaston. Match the arching crimp rail and follow mossy slightly incut edges up over the bulge.",https://www.mountainproject.com/route/117060979/tripping-while-dogsitting
579,Core Shot Club,Boulder,V3+,40.04472,-75.70726,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Shelmire Road Hillside,N/A,"Sit start with hands in flake and feet far left. Pull up to two good edges, find feet, and then pull up to a right hand on your choice of a glassy crimp, a tiny bad Gaston pocket, or a bad slope. Set feet and then launch for the jugs above the bulge. Try not to dry fire off the glassy crimp, it hurts.",https://www.mountainproject.com/route/117061369/core-shot-club
580,Easy Friction,Boulder,V0,40.05121,-75.73424,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,N Reeds Road Hollow,N/A,Start at the small gully in the rock just left of the cutout corner. Work up the face on easy smearing and dirty jugs.,https://www.mountainproject.com/route/116523614/easy-friction
581,Line Drive,Boulder,V1,40.05121,-75.73424,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,N Reeds Road Hollow,N/A,"Start as for ""Negative Space"" But move straight up from the start",https://www.mountainproject.com/route/116523591/line-drive
582,Grit Hymnal,Boulder,V1,40.05121,-75.73424,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,N Reeds Road Hollow,N/A,"Start matched on an incut section on the left side of the lip above the cutout, feet on the overhanging section under the cutout (small wall to the right is off). Bump hands up and right to good hold, get a left foot above the lip and find holds to stand up on it. Finish by topping out a slightly delicate slab with decent holds if you look for them. Rock seemed solid but the edges of some holds on the bottom may crumble and round as it cleans up. Fun movement, goes at V0-1 if you use feet or hands on the right wall to start.",https://www.mountainproject.com/route/116524426/grit-hymnal
583,Negative Space,Boulder,V2,40.05121,-75.73424,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,N Reeds Road Hollow,N/A,Start matched on the left side of the cutout corner around the left side of the overhanging face. Move to the right wall of the corner and reach for the lip. Manage less than ideal hands and feet you cant see to move yourself up. Awkward exposed move up over the lip.,https://www.mountainproject.com/route/116523579/negative-space
584,Questionable Mantle Health,Boulder,V3,40.05121,-75.73424,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,N Reeds Road Hollow,N/A,"Start on any of a selection of good holds on the lip of the overhanging face far left. Follow good holds traversing right along the lip with small feet on the overhanging faceuntil you need to throw for the broken corner jug and let feet come loose. Get a hand heel match and mantel, top out.",https://www.mountainproject.com/route/116640190/questionable-mantle-health
585,Mid Atlantic Punters Club,Boulder,V4-5,40.05121,-75.73424,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,N Reeds Road Hollow,N/A,"Start with wide hands on incut but small holds, small smeary feet. Press hard with the feet and bump a hand up high, then another bump for the other hand. Hard to describe beta. This thing is stiff.",https://www.mountainproject.com/route/116523630/mid-atlantic-punters-club
586,I Still Have Seans Pads,Boulder,V0-1,40.04988,-75.71919,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Marsh Creek Lake Drainage Area,N/A,Climb the arete to top-out.,https://www.mountainproject.com/route/122121995/i-still-have-seans-pads
587,Big Easy,Boulder,V0,40.04988,-75.71919,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Marsh Creek Lake Drainage Area,N/A,"Climb the tall featured face, not all that exciting but its something.",https://www.mountainproject.com/route/116525407/big-easy
588,Leash Your Dog,Boulder,V3-,40.04988,-75.71919,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Marsh Creek Lake Drainage Area,N/A,Sit start with hands on slopey rail. Move up and left to a really nice pocket. Match the side-pull above it and move right to small crimps. Find balance and move up to incut jugs for top out. Arete on right side of boulder is off.,https://www.mountainproject.com/route/122121980/leash-your-dog
589,Trail Headgame,Boulder,V1,39.97054,-75.67525,Pennsylvania,Southeastern Lowlands,East Branch Brandywine Creek,Mount Johnson Nature Center Overhangs,Controlled Descent Boulder,"Start low on positive crimps and then work your way up on small positive holds and top out, many ways about it all about the same difficulty.",https://www.mountainproject.com/route/116536201/trail-headgame
590,Smidge,Boulder,V0,39.87236,-75.45859,Pennsylvania,Southeastern Lowlands,The Falls,N/A,N/A,"Start scrunched up with hands matched on the right side of the ""boulder."" After a few moves traversing to the left, topout.",https://www.mountainproject.com/route/119027838/smidge
591,Moon Rising,Boulder,V0-1,39.87236,-75.45859,Pennsylvania,Southeastern Lowlands,The Falls,N/A,N/A,"Start low on the right side of the boulder, and follow the line up and to the left. The top out can be tricky.",https://www.mountainproject.com/route/118840152/moon-rising
592,King Cobra,Boulder,V1,39.87236,-75.45859,Pennsylvania,Southeastern Lowlands,The Falls,N/A,N/A,Probably one of the best problems I've ever done. Start in the very bottom of the cave with a left hand undercling and a slopey right hand. Follow the line of good holds up and to the left.,https://www.mountainproject.com/route/118790333/king-cobra
593,Flyguy,Boulder,V1-2,39.87236,-75.45859,Pennsylvania,Southeastern Lowlands,The Falls,N/A,N/A,"The problem follows the rightmost arete of the cave, starting with both hands as low as you can go. Luckily, these holds tend to remain dry when the rest of the cave is still soaked.",https://www.mountainproject.com/route/118790257/flyguy
594,Icarus,Boulder,V0,39.91984,-75.3616,Pennsylvania,Southeastern Lowlands,Smedley Park,N/A,N/A,"Start somewhere on the right side of the boulder, and head up and to a little to the left before topping out.",https://www.mountainproject.com/route/118854420/icarus
595,Spike,Boulder,V0,39.91984,-75.3616,Pennsylvania,Southeastern Lowlands,Smedley Park,N/A,N/A,"Start on any of the numerous juggy holds on the left side, and go up and to the right for the topout.",https://www.mountainproject.com/route/118854200/spike
596,Le Fin,Boulder,V0,39.91984,-75.3616,Pennsylvania,Southeastern Lowlands,Smedley Park,N/A,N/A,"Super cool feature. This boulder is a thin flake of black rock with big jugs, making it a  good warmup.",https://www.mountainproject.com/route/118840160/le-fin
597,Barefoot Traverse,Boulder,V0,39.91984,-75.3616,Pennsylvania,Southeastern Lowlands,Smedley Park,N/A,N/A,"Start with hands as shown in the picture or wherever there are dry holds, and head up and to the right quite aways before topping out.",https://www.mountainproject.com/route/118854257/barefoot-traverse
598,Bob Ombs,Boulder,V0,39.91984,-75.3616,Pennsylvania,Southeastern Lowlands,Smedley Park,N/A,N/A,"Start with both hands matched on the basketball sized ball. You can go up either left or right, either way it's juggy slab climbing.",https://www.mountainproject.com/route/118854096/bob-ombs
